title,price,rating,reviews
"Vivo Y16 (Drizzling Gold, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹9,999.00",3.8 out of 5 stars,3.8 out of 5
"Vivo Y02 (Orchid Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹8,999.00",3.9 out of 5 stars,3.9 out of 5
"Vivo Y16 (Stellar Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹9,999.00",3.8 out of 5 stars,3.8 out of 5
"Vivo Y02 (Cosmic Grey, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹8,999.00",3.9 out of 5 stars,3.9 out of 5
Vivo Y15s Wave Green (3GB RAM & 32GB ROM) with No Cost EMI/Additional Exchange Offers,"₹9,499.00",4.0 out of 5 stars,4 out of 5
Vivo Y15s Mystic Blue (3GB RAM & 32GB ROM) with No Cost EMI/Additional Exchange Offers,"₹9,499.00",4.0 out of 5 stars,4 out of 5
"Vivo Y91 1816 (Ocean Blue, 2GB RAM, 32GB Storage)","₹9,600.00",4.2 out of 5 stars,4.2 out of 5
"Vivo Y91i (Ocean Blue, 2GB RAM, 16GB Storage)","₹10,000.00",3.8 out of 5 stars,3.8 out of 5
Vivo Y31L (Black),"₹9,200.00",3.7 out of 5 stars,3.7 out of 5
"(Renewed) Vivo Y20i (Dawn White, 3GB RAM, 64GB Storage) Without Offer","₹9,839.00",Previous page,
Vivo Y53 (Space Grey),"₹9,200.00",4.0 out of 5 stars,4 out of 5
Vivo Y15S (Black),₹295.00,4.3 out of 5 stars,4.3 out of 5
"Vivo Y91i (Fusion Black, 2GB RAM, 16GB Storage)","₹9,000.00",3.7 out of 5 stars,3.7 out of 5
"(Renewed) Vivo Y20i (Nebula Blue, 3GB RAM, 64GB Storage) Without Offer","₹9,795.00",3.7 out of 5 stars,3.7 out of 5
"Vivo Y15C (Mystic Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹9,499.00",3.7 out of 5 stars,3.7 out of 5
Vivo Y53 (Crown Gold),"₹10,990.00",4.0 out of 5 stars,4 out of 5
Vivo Y21 (White),"₹7,500.00",3.9 out of 5 stars,3.9 out of 5
"Vivo Y15C (Wave Green, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹9,499.00",3.7 out of 5 stars,3.7 out of 5
"(Renewed) Vivo Y01 (Sapphire Blue,2GB RAM, 32GB Storage)","₹8,885.00",Previous page,
